Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
36,35.8,0.5,2.8,54,40.1,5.9,NO
32.5,32.5,0.3,2.3,54,40.4,5.6,NO
51.9,51.2,1.2,5,54.3,38.7,7,YES
34.9,28.1,1,2.8,53.5,40.2,6.3,YES
34.9,28.1,1,2.8,53.5,40.2,6.3,YES
45.7,34.3,0.7,2.2,48.8,44.3,6.9,NO
39.7,29.3,0.5,1.8,45.9,47.3,6.8,NO
71.6,56,1.8,3.8,61.5,31.3,7.1,YES
47.3,35.6,1,3.7,56.5,36.4,7.1,YES
43.6,32.8,0.5,3,55.2,37.1,7.7,NO
68.7,51.9,3.5,8.1,64.1,32.3,3.6,YES
56.4,44.6,1.4,3.9,54.6,37.7,7.7,YES
47.2,39.2,0.6,2.8,46.8,43.7,9.5,NO
77.3,56.9,3.2,6.4,72.4,24,3.7,YES
42.4,37,0.5,2.5,46.3,46.2,7.6,NO
42.4,37,0.5,2.5,46.3,46.2,7.6,NO
46.3,35.3,0.6,3.6,42.3,48.7,9,NO
46.3,35.3,0.6,3.6,42.3,48.7,9,NO
46.4,36.7,0.7,2.6,41.6,47.9,10.5,NO
37.5,31,0.3,1.8,35.6,53,11.4,NO
70.1,51.6,1.8,4.8,57.5,34.5,8,YES
53.6,43.6,0.8,2.8,50,41.6,8.4,YES
52,42.1,0.8,2.8,49.6,41.8,8.7,YES
67.9,58.1,0.7,2.5,53.7,40.1,6.2,NO
69.8,50.5,3.1,6.1,68.9,26,5.1,YES
53.7,41.4,1.1,2.7,52.7,38.7,8.6,YES
81.5,57.1,4.6,8.5,80.6,16.8,2.5,YES
55.2,43.1,0.8,4.6,55.4,37.1,7.5,YES
49.4,38.9,0.6,4.8,51.6,39.9,8.5,NO
68.8,52.9,1.3,4,64.2,30.6,5.2,YES
60.2,50.5,1.1,3.2,55.3,37,7.7,YES
47.6,43.1,0.3,2.4,46,42.9,11.2,NO
77.1,60.5,2.1,4.4,67.8,29.2,3,YES
44.4,41.7,0.7,2.4,46.8,42.6,10.6,NO
44.4,41.7,0.7,2.4,46.8,42.6,10.6,NO
73.2,52,5.8,7.8,66.7,28.7,4.6,YES
50.8,31.6,0.9,3.1,52.7,39,8.3,YES
84,61.9,8.2,10.1,73.5,23.7,2.8,YES
48.4,24.1,0.4,3.1,52.2,39.2,8.6,NO
45.1,20,0.3,3.1,49.7,40.6,9.7,NO
61.9,41.1,0.7,3.1,62.3,33.2,4.5,NO
53,28.5,0.8,2.4,54.4,36.1,9.5,YES
44.7,20.3,0.5,1.8,48.9,39.5,11.7,NO
77.2,52.3,1.9,4.4,70.5,26.2,3.3,YES
62.6,36.3,0.8,3.1,55.8,37.2,7,YES
57,27.3,0.4,2.2,51.3,40.5,8.3,NO
75.4,56.8,1.6,5.3,66.1,29.7,4.3,YES
65.1,38.5,1.7,5.4,59.4,34.3,6.2,YES
55.3,27.1,0.8,4.1,53,38.5,8.6,YES
78,53.4,2.8,7,68,28.9,3.1,YES
59.5,39.7,1.3,4.3,55.3,38.3,6.4,YES
51.3,31.1,0.8,3.6,49.7,42.4,7.9,YES
77.7,58.9,2.4,6,67.7,29.2,3.1,YES
45.8,28.3,1,3.2,49.3,41.7,9.1,YES
40.3,23.9,0.6,2.7,44,45.6,10.4,NO
70.9,48.3,3,5.8,73.6,23.7,2.7,YES
52.9,33.5,0.9,2.2,53.8,39.3,6.9,YES
50.9,32.1,0.9,1.9,51,41.8,7.2,YES
69.2,45.5,1.3,4.4,77.2,18.5,4.4,YES
67.5,53.3,2,5.1,58.7,36.2,5,YES
60,47.9,1.5,3.7,58,35.7,6.3,YES
73.3,57.5,2.4,6.2,59.2,36.7,4.1,YES
73.9,62.7,3.4,7.4,70,25,5,YES
65.7,54.9,1.8,5.2,63,29.5,7.5,YES
81.6,69.9,4.9,9.4,76.5,20.9,2.6,YES
87,62.7,10,11.3,75.1,22.4,2.6,YES
87,62.7,10,11.3,75.1,22.4,2.6,YES
60.7,57.7,1.5,3.5,65.1,29.2,5.7,YES
52.5,45.3,0.8,2.1,58.6,34.9,6.5,YES
67.8,68.5,2.1,4.6,70.7,24.3,5,YES
58.8,37.3,1.6,5.4,58.5,34.6,6.9,YES
50.5,29.5,1.5,3.4,57.2,34.8,8,YES
74.6,52.2,1.6,9.2,61.1,34.2,4.7,YES
46.8,28.2,0.8,3.3,50,43.8,6.2,YES
46.8,28.2,0.8,3.3,50,43.8,6.2,YES
39.6,21.2,0.5,2,50.7,39.9,9.4,NO
39.6,21.2,0.5,2,50.7,39.9,9.4,NO
42.5,39.9,1.1,3.7,52.7,40.1,7.2,YES
35.2,36.3,0.5,3.1,48.3,43.6,8.1,NO
73.9,55.5,3.5,6.3,71.6,25,3.4,YES
42.4,39.6,1,3.1,54.1,40.1,5.8,YES
34.3,35.8,0.6,2.7,51.7,41.7,6.5,NO
70.8,53,2.6,4.7,62.4,34.2,3.4,YES
43.3,42.7,0.7,3.4,49.7,43,7.3,NO
40.9,41.5,0.5,3.5,47.5,44.9,7.6,NO
67.9,54.7,2.3,2.6,72.3,24.1,3.6,YES
58.6,47.8,2.3,5.4,62.7,31.8,5.5,YES
41.6,40.2,0.4,3.3,49.8,42.2,8,NO
79.7,57.1,4.6,8.1,78.7,19,2.3,YES
34,34.7,0.5,4,50.8,42.5,6.7,NO
29.9,31.9,0.3,3.7,48.2,44.6,7.2,NO
68.6,58.2,2.1,6.5,73.4,24.1,2.5,YES
37.6,36.7,0.8,4,53.7,39.1,7.1,YES
35,34.9,0.6,4,51.5,40.9,7.6,NO
81.3,67.1,4.1,4.7,90,9.7,0.3,NO
37.1,38.1,0.5,2.5,44.2,45.8,10,NO
34.5,36.7,0.5,2.4,44.2,46,9.8,NO
53.5,47.1,0.6,2.6,44.1,44.6,11.3,NO
